레벨,화면번호,곡,카테고리,존,존번호,출처
S1,2,빌려온 고양이,KPOP,PHOENIX 2,3,실제
S1,3,404 (뉴 에라),KPOP,PHOENIX 2,5,실제
S1,4,비행기,KPOP,PHOENIX,2,실제
S1,5,날아올라,KPOP,XX,4,실제
S1,6,유 앤 아이,KPOP,XX,5,실제
S1,7,스타드림 (feat. Romelon),ORIGINAL,XX,39,실제
S1,8,설탕음모론,ORIGINAL,PRIME,25,실제
S1,9,유 어게인 마이 러브,ORIGINAL,PRIME,33,실제
S1,10,여래아,ORIGINAL,FIESTA~FIESTA 2,14,실제
S1,11,위 갓 투 노우,ORIGINAL,FIESTA~FIESTA 2,27,실제
S1,12,케이.오.에이 : 엘리스 인 원더월드,ORIGINAL,NX~NXA,6,실제
S1,13,사랑가,ORIGINAL,1st~ZERO,65,실제
S1,14,라라,WORLDMUSIC,XX,75,실제
S1,15,아마이 유우와쿠 데인저러스,JMUSIC,PRIME,62,실제
S1,16,미토츠다이라,JMUSIC,PRIME,66,실제
S1,17,배드 애플!! feat. Nomico,JMUSIC,PRIME,68,실제
S1,18,레이디버그,WORLDMUSIC,FIESTA~FIESTA 2,92,실제
S1,19,키티 캣,WORLDMUSIC,FIESTA~FIESTA 2,93,실제
S2,2,고민중독,KPOP,PHOENIX 2,2,실제
S2,3,뱅 뱅,KPOP,PHOENIX 2,4,실제
S2,4,스톰,KPOP,PHOENIX,1,실제
S2,5,풀 문,KPOP,XX,2,실제
S2,6,타이밍,KPOP,XX,3,실제
S2,7,트로피카닉,ORIGINAL,XX,49,실제
S2,8,사라반드,ORIGINAL,PRIME 2,16,실제
S2,9,HTTP,ORIGINAL,PRIME 2,26,실제
S2,10,블레이즈 이모션 (Band version),ORIGINAL,PRIME,23,실제
S2,11,엑스트리,ORIGINAL,FIESTA~FIESTA 2,43,실제
S2,12,유 갓 투 노우,ORIGINAL,FIESTA~FIESTA 2,46,실제
S2,13,펌핑 점핑,ORIGINAL,FIESTA~FIESTA 2,58,실제
S2,14,테프리스,ORIGINAL,FIESTA~FIESTA 2,81,실제
S2,15,블레이즈 이모션,ORIGINAL,NX~NXA,1,실제
S2,16,히글디 피글디,ORIGINAL,NX~NXA,25,실제
S2,17,위치 닥터 #1,ORIGINAL,NX~NXA,29,실제
S2,18,아크 오브 다크니스,ORIGINAL,NX~NXA,30,실제
S2,19,팬텀,ORIGINAL,1st~ZERO,9,실제
S2,20,파이널 오디션 3,ORIGINAL,1st~ZERO,22,실제
S2,21,윌 오 더 위스프,ORIGINAL,1st~ZERO,45,실제
S2,22,셋 미 업,ORIGINAL,1st~ZERO,50,실제
S2,23,댄스 위드 미,ORIGINAL,1st~ZERO,51,실제
S2,24,무혼,ORIGINAL,1st~ZERO,66,실제
S2,25,파이널 오디션,ORIGINAL,1st~ZERO,79,실제
S2,26,알테일,WORLDMUSIC,PHOENIX,98,실제
S2,27,라이프 이즈 피아노,WORLDMUSIC,XX,83,실제
S2,28,아이디얼라이즈드 로맨스,JMUSIC,PRIME,71,실제
S2,29,팝 더 트랙,WORLDMUSIC,FIESTA~FIESTA 2,85,실제
S2,30,오벨리스크,XROSS,XX,96,실제
S3,2,빌려온 고양이,KPOP,PHOENIX 2,3,실제
S3,3,404 (뉴 에라),KPOP,PHOENIX 2,5,실제
S3,4,비행기,KPOP,PHOENIX,2,실제
S3,5,노스텔지어,KPOP,PHOENIX,3,실제
S3,6,조깅,KPOP,XX,1,실제
S3,7,날아올라,KPOP,XX,4,실제
S3,8,체이스 미,KPOP,PRIME 2,1,실제
S3,9,굿 나이트,KPOP,PRIME 2,2,실제
S3,10,사월의 축제,ORIGINAL,PHOENIX,4,실제
S3,11,유포리아닉,ORIGINAL,PHOENIX,17,실제
S3,12,라크리모사,ORIGINAL,PHOENIX,31,실제
S3,13,요! 세이!! 페어리!!!,ORIGINAL,PHOENIX,37,실제
S3,14,블루이쉬 로즈,ORIGINAL,PHOENIX,40,실제
S3,15,스위트로닉,ORIGINAL,XX,9,실제
S3,16,트란사칼리아,ORIGINAL,XX,11,실제
S3,17,아이 원트 유,ORIGINAL,XX,14,실제
